geoid,geoid20,year,denom_total_hh,denom_youth_hh,avg_hh_size,youth_singleparenthh_count,youth_singleparenthh_pct,families_children_count,families_children_pct,living_alone_count,living_alone_pct,same_sex_count,same_sex_pct,opp_sex_count,opp_sex_pct
1400000US06037106020,6037106020,2021,1339,653,3.6900001,110,16.845329,252,19.459459,483.035,37.299999,18,1.3442868,750,56.011948
1400000US06037106111,6037106111,2021,1450,950,3.3599999,64,6.7368422,367,26.289398,541.64801,38.799999,34,2.3448277,1051,72.482758
1400000US06037106112,6037106112,2021,1416,1066,3.6300001,390,36.585365,343,24.783237,383.36801,27.700001,29,2.0480225,825,58.262711
1400000US06037106113,6037106113,2021,1032,864,3.72,130,15.046296,366,36.895161,287.67999,29,4,.38759691,725,70.251938
1400000US06037106114,6037106114,2021,1767,2049,3.98,552,26.93997,717,42.882774,414.65598,24.799999,0,0,926,52.405205
1400000US06037106403,6037106403,2021,891,950,4.0900002,177,18.631578,292,34.232121,286.608,33.599998,20,2.244669,467,52.413017
1400000US06037106405,6037106405,2021,1217,1112,3.72,149,13.399281,477,40.458015,228.726,19.4,0,0,761,62.530815
1400000US06037106406,6037106406,2021,1967,1277,3.51,250,19.577133,461,25.526024,559.85999,31,35,1.7793595,959,48.754448
1400000US06037106407,6037106407,2021,924,688,2.8900001,210,30.523256,341,41.034897,254.28601,30.6,16,1.7316017,348,37.662338
1400000US06037106408,6037106408,2021,1085,1312,3.77,401,30.564024,484,48.888889,146.52,14.8,15,1.3824885,472,43.502304
1400000US06037106510,6037106510,2021,1724,1380,3.29,288,20.869566,529,32.553844,401.375,24.700001,0,0,1024,59.396751
1400000US06037106520,6037106520,2021,1501,1313,4.0999999,388,29.550648,476,33.47398,455.04001,32,25,1.6655563,876,58.361092
1400000US06037106603,6037106603,2021,1195,795,3.05,176,22.138365,371,31.334459,571.87201,48.299999,11,.92050207,776,64.937241
1400000US06037106604,6037106604,2021,1258,539,3,75,13.914657,306,24.67742,385.64001,31.1,0,0,724,57.55167
1400000US06037106641,6037106641,2021,764,504,2.96,46,9.1269846,251,33.827492,313.12399,42.200001,0,0,477,62.434555
1400000US06037106642,6037106642,2021,1199,720,2.9100001,111,15.416667,322,27.951389,388.224,33.700001,0,0,712,59.38282
1400000US06037106643,6037106643,2021,1453,792,3.23,13,1.6414142,379,27.704678,551.30402,40.299999,0,0,1083,74.535446
1400000US06037106645,6037106645,2021,1313,960,3.0699999,20,2.0833333,380,30.182684,550.18298,43.700001,23,1.7517136,805,61.309978
1400000US06037106646,6037106646,2021,1002,565,3.01,54,9.5575218,248,26.077812,370.89001,39,7,.6986028,585,58.383232
1400000US06037106648,6037106648,2021,1119,1431,4.21,668,46.680641,483,44.516129,379.75,35,8,.71492404,660,58.981232
1400000US06037106649,6037106649,2021,682,617,4.4099998,118,19.124798,228,35.736675,271.14999,42.5,25,3.6656892,408,59.824047
1400000US06037107010,6037107010,2021,787,562,4.1500001,143,25.444839,235,31.67116,269.34601,36.299999,0,0,418,53.113087
