"A302103 - CBD EJ to Tristate"
"Current date: 1/15/2024 12:51:15 AM (Eastern Standard Time)"
"RESIDENCE","WORKPLACE","Means of Transportation 18","Output","Workers 16 and Over",
"Alabama","California","Other method","Estimate","130"
"Alabama","California","Worked at home","Estimate","0"
"Alabama","Colorado","Total, means of transportation","Estimate","215"
"Alabama","Colorado","Car, truck, or van -- Drove alone","Estimate","145"
"Alabama","Colorado","Car, truck, or van -- In a 2-person carpool","Estimate","30"
"Alabama","Colorado","Car, truck, or van -- In a 3-person carpool","Estimate","0"
"Alabama","Colorado","Car, truck, or van -- In a 4-person carpool","Estimate","0"
"Alabama","Colorado","Car, truck, or van -- In a 5-or-6-person carpool","Estimate","0"
"Alabama","Colorado","Car, truck, or van -- In a 7-or-more-person carpool","Estimate","0"
"Alabama","Colorado","Bus or trolley bus","Estimate","4"
"Alabama","Colorado","Streetcar or trolley car","Estimate","0"
"Alabama","Colorado","Subway or elevated","Estimate","0"
"Alabama","Colorado","Railroad","Estimate","0"
"Alabama","Colorado","Ferryboat","Estimate","0"
"Alabama","Colorado","Bicycle","Estimate","0"
"Alabama","Colorado","Walked","Estimate","0"
"Alabama","Colorado","Taxicab","Estimate","0"
"Alabama","Colorado","Motorcycle","Estimate","0"
"Alabama","Colorado","Other method","Estimate","35"
"Alabama","Colorado","Worked at home","Estimate","0"
"Alabama","Connecticut","Total, means of transportation","Estimate","20"
"Alabama","Connecticut","Car, truck, or van -- Drove alone","Estimate","15"
"Alabama","Connecticut","Car, truck, or van -- In a 2-person carpool","Estimate","0"
"Alabama","Connecticut","Car, truck, or van -- In a 3-person carpool","Estimate","0"
"Alabama","Connecticut","Car, truck, or van -- In a 4-person carpool","Estimate","0"
"Alabama","Connecticut","Car, truck, or van -- In a 5-or-6-person carpool","Estimate","0"
"Alabama","Connecticut","Car, truck, or van -- In a 7-or-more-person carpool","Estimate","0"
"Alabama","Connecticut","Bus or trolley bus","Estimate","0"
"Alabama","Connecticut","Streetcar or trolley car","Estimate","0"
"Alabama","Connecticut","Subway or elevated","Estimate","0"
"Alabama","Connecticut","Railroad","Estimate","0"
"Alabama","Connecticut","Ferryboat","Estimate","0"
"Alabama","Connecticut","Bicycle","Estimate","0"
"Alabama","Connecticut","Walked","Estimate","0"
"Alabama","Connecticut","Taxicab","Estimate","0"
"Alabama","Connecticut","Motorcycle","Estimate","0"
"Alabama","Connecticut","Other method","Estimate","4"
"Alabama","Connecticut","Worked at home","Estimate","0"
"Alabama","Delaware","Total, means of transportation","Estimate",""
"Alabama","Delaware","Car, truck, or van -- Drove alone","Estimate",""
"Alabama","Delaware","Car, truck, or van -- In a 2-person carpool","Estimate",""
"Alabama","Delaware","Car, truck, or van -- In a 3-person carpool","Estimate",""
"Alabama","Delaware","Car, truck, or van -- In a 4-person carpool","Estimate",""
"Alabama","Delaware","Car, truck, or van -- In a 5-or-6-person carpool","Estimate",""
"Alabama","Delaware","Car, truck, or van -- In a 7-or-more-person carpool","Estimate",""
"Alabama","Delaware","Bus or trolley bus","Estimate",""
"Alabama","Delaware","Streetcar or trolley car","Estimate",""
"Alabama","Delaware","Subway or elevated","Estimate",""
"Alabama","Delaware","Railroad","Estimate",""
"Alabama","Delaware","Ferryboat","Estimate",""
"Alabama","Delaware","Bicycle","Estimate",""
"Alabama","Delaware","Walked","Estimate",""
"Alabama","Delaware","Taxicab","Estimate",""
"Alabama","Delaware","Motorcycle","Estimate",""
"Alabama","Delaware","Other method","Estimate",""
"Alabama","Delaware","Worked at home","Estimate",""
"Alabama","District of Columbia","Total, means of transportation","Estimate","320"
"Alabama","District of Columbia","Car, truck, or van -- Drove alone","Estimate","45"
"Alabama","District of Columbia","Car, truck, or van -- In a 2-person carpool","Estimate","0"
"Alabama","District of Columbia","Car, truck, or van -- In a 3-person carpool","Estimate","0"
"Alabama","District of Columbia","Car, truck, or van -- In a 4-person carpool","Estimate","0"
"Alabama","District of Columbia","Car, truck, or van -- In a 5-or-6-person carpool","Estimate","0"
"Alabama","District of Columbia","Car, truck, or van -- In a 7-or-more-person carpool","Estimate","0"
"Alabama","District of Columbia","Bus or trolley bus","Estimate","35"
"Alabama","District of Columbia","Streetcar or trolley car","Estimate","0"
"Alabama","District of Columbia","Subway or elevated","Estimate","15"
"Alabama","District of Columbia","Railroad","Estimate","0"
"Alabama","District of Columbia","Ferryboat","Estimate","0"
"Alabama","District of Columbia","Bicycle","Estimate","200"
"Alabama","District of Columbia","Walked","Estimate","4"
"Alabama","District of Columbia","Taxicab","Estimate","15"
"Alabama","District of Columbia","Motorcycle","Estimate","0"
"Alabama","District of Columbia","Other method","Estimate","0"
"Alabama","District of Columbia","Worked at home","Estimate","0"
"Alabama","Florida","Total, means of transportation","Estimate","9,100"
"Alabama","Florida","Car, truck, or van -- Drove alone","Estimate","7,665"
"Alabama","Florida","Car, truck, or van -- In a 2-person carpool","Estimate","1,040"
"Alabama","Florida","Car, truck, or van -- In a 3-person carpool","Estimate","110"
"Alabama","Florida","Car, truck, or van -- In a 4-person carpool","Estimate","20"
"Alabama","Florida","Car, truck, or van -- In a 5-or-6-person carpool","Estimate","4"
"Alabama","Florida","Car, truck, or van -- In a 7-or-more-person carpool","Estimate","4"
"Alabama","Florida","Bus or trolley bus","Estimate","70"
"Alabama","Florida","Streetcar or trolley car","Estimate","0"
"Alabama","Florida","Subway or elevated","Estimate","0"
"Alabama","Florida","Railroad","Estimate","0"
"Alabama","Florida","Ferryboat","Estimate","0"
"Alabama","Florida","Bicycle","Estimate","4"
"Alabama","Florida","Walked","Estimate","40"
"Alabama","Florida","Taxicab","Estimate","0"
"Alabama","Florida","Motorcycle","Estimate","50"
"Alabama","Florida","Other method","Estimate","95"
"Alabama","Florida","Worked at home","Estimate","0"
"Alabama","Georgia","Total, means of transportation","Estimate","46,760"
"Alabama","Georgia","Car, truck, or van -- Drove alone","Estimate","42,160"
"Alabama","Georgia","Car, truck, or van -- In a 2-person carpool","Estimate","2,890"
"Alabama","Georgia","Car, truck, or van -- In a 3-person carpool","Estimate","900"
"Alabama","Georgia","Car, truck, or van -- In a 4-person carpool","Estimate","95"
"Alabama","Georgia","Car, truck, or van -- In a 5-or-6-person carpool","Estimate","85"
"Alabama","Georgia","Car, truck, or van -- In a 7-or-more-person carpool","Estimate","55"
"Alabama","Georgia","Bus or trolley bus","Estimate","75"
"Alabama","Georgia","Streetcar or trolley car","Estimate","15"
"Alabama","Georgia","Subway or elevated","Estimate","25"
"Alabama","Georgia","Railroad","Estimate","0"
"Alabama","Georgia","Ferryboat","Estimate","0"
"Alabama","Georgia","Bicycle","Estimate","10"
"Alabama","Georgia","Walked","Estimate","100"
"Alabama","Georgia","Taxicab","Estimate","30"
"Alabama","Georgia","Motorcycle","Estimate","55"
"Alabama","Georgia","Other method","Estimate","255"
"Alabama","Georgia","Worked at home","Estimate","0"
"Alabama","Hawaii","Total, means of transportation","Estimate","45"
"Alabama","Hawaii","Car, truck, or van -- Drove alone","Estimate","35"
"Alabama","Hawaii","Car, truck, or van -- In a 2-person carpool","Estimate","0"
"Alabama","Hawaii","Car, truck, or van -- In a 3-person carpool","Estimate","0"
"Alabama","Hawaii","Car, truck, or van -- In a 4-person carpool","Estimate","0"
"Alabama","Hawaii","Car, truck, or van -- In a 5-or-6-person carpool","Estimate","0"
"Alabama","Hawaii","Car, truck, or van -- In a 7-or-more-person carpool","Estimate","0"
"Alabama","Hawaii","Bus or trolley bus","Estimate","0"
"Alabama","Hawaii","Streetcar or trolley car","Estimate","0"
"Alabama","Hawaii","Subway or elevated","Estimate","0"
"Alabama","Hawaii","Railroad","Estimate","0"
"Alabama","Hawaii","Ferryboat","Estimate","0"
"Alabama","Hawaii","Bicycle","Estimate","0"
"Alabama","Hawaii","Walked","Estimate","0"
"Alabama","Hawaii","Taxicab","Estimate","15"
"Alabama","Hawaii","Motorcycle","Estimate","0"
"Alabama","Hawaii","Other method","Estimate","0"
"Alabama","Hawaii","Worked at home","Estimate","0"
"Alabama","Idaho","Total, means of transportation","Estimate","25"
"Alabama","Idaho","Car, truck, or van -- Drove alone","Estimate","15"
"Alabama","Idaho","Car, truck, or van -- In a 2-person carpool","Estimate","10"
"Alabama","Idaho","Car, truck, or van -- In a 3-person carpool","Estimate","0"
"Alabama","Idaho","Car, truck, or van -- In a 4-person carpool","Estimate","0"
"Alabama","Idaho","Car, truck, or van -- In a 5-or-6-person carpool","Estimate","0"
"Alabama","Idaho","Car, truck, or van -- In a 7-or-more-person carpool","Estimate","0"
"Alabama","Idaho","Bus or trolley bus","Estimate","0"
"Alabama","Idaho","Streetcar or trolley car","Estimate","0"
"Alabama","Idaho","Subway or elevated","Estimate","0"
"Alabama","Idaho","Railroad","Estimate","0"
"Alabama","Idaho","Ferryboat","Estimate","0"
"Alabama","Idaho","Bicycle","Estimate","0"
"Alabama","Idaho","Walked","Estimate","0"
"Alabama","Idaho","Taxicab","Estimate","0"
"Alabama","Idaho","Motorcycle","Estimate","0"
"Alabama","Idaho","Other method","Estimate","0"
"Alabama","Idaho","Worked at home","Estimate","0"
"Alabama","Illinois","Total, means of transportation","Estimate","285"
"Alabama","Illinois","Car, truck, or van -- Drove alone","Estimate","235"
"Alabama","Illinois","Car, truck, or van -- In a 2-person carpool","Estimate","15"
"Alabama","Illinois","Car, truck, or van -- In a 3-person carpool","Estimate","10"
"Alabama","Illinois","Car, truck, or van -- In a 4-person carpool","Estimate","0"
"Alabama","Illinois","Car, truck, or van -- In a 5-or-6-person carpool","Estimate","0"
"Alabama","Illinois","Car, truck, or van -- In a 7-or-more-person carpool","Estimate","0"
"Alabama","Illinois","Bus or trolley bus","Estimate","0"
"Alabama","Illinois","Streetcar or trolley car","Estimate","0"
"Alabama","Illinois","Subway or elevated","Estimate","0"
"Alabama","Illinois","Railroad","Estimate","0"
"Alabama","Illinois","Ferryboat","Estimate","0"
"Alabama","Illinois","Bicycle","Estimate","0"
"Alabama","Illinois","Walked","Estimate","20"
"Alabama","Illinois","Taxicab","Estimate","0"
"Alabama","Illinois","Motorcycle","Estimate","0"
"Alabama","Illinois","Other method","Estimate","4"
"Alabama","Illinois","Worked at home","Estimate","0"
"Alabama","Indiana","Total, means of transportation","Estimate","305"
"Alabama","Indiana","Car, truck, or van -- Drove alone","Estimate","160"
"Alabama","Indiana","Car, truck, or van -- In a 2-person carpool","Estimate","30"
"Alabama","Indiana","Car, truck, or van -- In a 3-person carpool","Estimate","0"
"Alabama","Indiana","Car, truck, or van -- In a 4-person carpool","Estimate","0"
"Alabama","Indiana","Car, truck, or van -- In a 5-or-6-person carpool","Estimate","0"
"Alabama","Indiana","Car, truck, or van -- In a 7-or-more-person carpool","Estimate","0"
"Alabama","Indiana","Bus or trolley bus","Estimate","0"
"Alabama","Indiana","Streetcar or trolley car","Estimate","0"
"Alabama","Indiana","Subway or elevated","Estimate","0"
"Alabama","Indiana","Railroad","Estimate","0"
"Alabama","Indiana","Ferryboat","Estimate","0"
"Alabama","Indiana","Bicycle","Estimate","0"
"Alabama","Indiana","Walked","Estimate","20"
"Alabama","Indiana","Taxicab","Estimate","0"
"Alabama","Indiana","Motorcycle","Estimate","0"
"Alabama","Indiana","Other method","Estimate","95"
